-DOCSTART- -X- -X- -X-
Kyoto B-LOC O B-LOC
called O O O
Kikunoi O O B-EST
for O O O
seven O O O
years O O O
and O O O
then O O O
spent O O O
three O O O
more O O O
at O O O
a O O O
traditionalist O O O
sushi B-TYPE O B-TYPE
parlor I-TYPE O I-TYPE
in O O O
the O O O
Ginza B-LOC O B-LOC
district O O I-LOC
of O O O
Tokyo. B-LOC O B-LOC
You O O O
might O O O
think O O O
of O O O
this O O O
as O O O
the O O O
equivalent O O O
of O O O
earning O O O
a O O O
master's O O O
degree O O O
followed O O O
by O O O
a O O O
Ph.D. O O O
in O O O
Japanese B-CUISINE O B-CUISINE
cuisine, O O O
and O O O
one O O O
side O O O
benefit O O O
of O O O
a O O O
meal O O O
across O O O
the O O O
counter O O O
from O O O
Mr. O O O
Wilcox O O O
is O O O
the O O O
chance O O O
to O O O
hear O O O
what O O O
he O O O
learned O O O
studying O O O
abroad. O O O
Show O O O
some O O O
curiosity O O O
and O O O
you O O O
could O O O
get O O O
a O O O
short O O O
education O O O
in O O O
the O O O
mineral-rich O O O
clay O O O
used O O O
by O O O
potters O O O
in O O O
the O O O
town O O O
of O O O
Shigaraki, B-LOC O B-LOC
or O O O
the O O O
various O O O
aliases O O O
and O O O
false O O O
names O O O
under O O O
which O O O
a O O O
particularly O O O
delicious, O O O
pink-fleshed O O O
fish B-FOOD O O
known O O O
as O O O
akamutsu B-FOOD O B-DISH
in O O O
Japan B-LOC O B-LOC
travels O O O
under O O O
when O O O
it O O O
is O O O
away O O O
from O O O
home. O O O
On O O O
this O O O
August O O O
night, O O O
I O O O
was O O O
about O O O
to O O O
get O O O
a O O O
two-hour O O O
schooling O O O
on O O O
the O O O
pleasures O O O
of O O O
summer O O O
sushi. B-FOOD O B-FOOD
Mr. O O O
Wilcox's O O O
opening O O O
move O O O
was O O O
a O O O
squiggle O O O
of O O O
what O O O
looked O O O
like O O O
short, O O O
thick O O O
noodles B-FOOD O B-FOOD
and O O O
turned O O O
out O O O
to O O O
be O O O
lengths O O O
of O O O
chilled O O O
eggplant; B-FOOD O B-FOOD
Mr. O O O
Wilcox O O O
had O O O
given O O O
them O O O
a O O O
cool O O O
bath O O O
in O O O
the O O O
light O O O
sauce B-FOOD O O
in O O O
which O O O
icy O O O
coils O O O
of O O O
somen B-FOOD O B-FOOD
noodles I-FOOD O I-FOOD
are O O O
dipped O O O
in O O O
summer. O O O
Laid O O O
over O O O
the O O O
top O O O
were O O O
two O O O
tongues O O O
of O O O
bafun O O O
sea O O O
urchin, O O O
a O O O
species O O O
with O O O
the O O O
color O O O
of O O O
a O O O
nearly O O O
ripe O O O
persimmon. O O O
With O O O
one O O O
dish, O O O
he O O O
had O O O
shooed O O O
away O O O
the O O O
heat O O O
outside, O O O
shown O O O
off O O O
the O O O
uncanny O O O
harmony O O O
of O O O
urchin O O O
and O O O
eggplant, O O O
and O O O
introduced O O O
a O O O
minor O O O
theme O O O
of O O O
the O O O
night, O O O
the O O O
summer O O O
urchin O O O
harvest O O O
in O O O
Japan. O O O
This O O O
overture O O O
out O O O
of O O O
the O O O
way, O O O
Mr. O O O
Wilcox O O O
lifted O O O
what O O O
appeared O O O
to O O O
be O O O
a O O O
machete. O O O
This O O O
was O O O
a O O O
hamo O O O
knife, O O O
a O O O
heavy O O O
swath O O O
of O O O
sharp O O O
steel O O O
that O O O
can O O O
reduce O O O
the O O O
daggertooth O O O
pike O O O
conger's O O O
dozens O O O
of O O O
tiny O O O
bones O O O
to O O O
edible O O O
smithereens; O O O
before O O O
the O O O
first O O O
one O O O
was O O O
forged O O O
in O O O
the O O O
19th O O O
century, O O O
he O O O
explained, O O O
the O O O
eel O O O
had O O O
to O O O
be O O O
fully O O O
cooked O O O
and O O O
separated O O O
from O O O
its O O O
skeleton. O O O
This O O O
hamo O O O
would O O O
be O O O
quickly O O O
scorched O O O
on O O O
one O O O
side O O O
and O O O
served O O O
with O O O
a O O O
lick O O O
of O O O
wasabi O O O
and O O O
puréed O O O
salt-cured O O O
plums O O O
thinned O O O
with O O O
dashi. O O O
Sashimi O O O
came O O O
next O O O
in O O O
the O O O
form O O O
of O O O
shioko, O O O
or O O O
kanpachi O O O
caught O O O
when O O O
it O O O
is O O O
young O O O
and O O O
its O O O
flavor O O O
is O O O
leaner O O O
and O O O
softer O O O
than O O O
it O O O
will O O O
get O O O
later O O O
in O O O
the O O O
year. O O O
This O O O
was O O O
followed O O O
by O O O
a O O O
local O O O
fish O O O
that O O O
in O O O
the O O O
spring O O O
Mr. O O O
Wilcox O O O
had O O O
told O O O
me O O O
he O O O
didn't O O O
like, O O O
striped O O O
bass. O O O
He O O O
had O O O
been O O O
working O O O
with O O O
it, O O O
though, O O O
salting O O O
it O O O
overnight O O O
and O O O
then O O O
grilling O O O
it O O O
until O O O
the O O O
skin O O O
crackled. O O O
Now O O O
I O O O
don't O O O
want O O O
striped O O O
bass O O O
cooked O O O
any O O O
other O O O
way. O O O
After O O O
this O O O
was O O O
Mr. O O O
Wilcox's O O O
nod O O O
to O O O
the O O O
kaiseki O O O
tradition O O O
known O O O
as O O O
takiawase, O O O
a O O O
plate O O O
of O O O
simmered O O O
vegetables O O O
and, O O O
in O O O
this O O O
case, O O O
seafood: O O O
a O O O
small O O O
potato, O O O
some O O O
Japanese O O O
eggplant, O O O
a O O O
crisp O O O
pink O O O
ginger O O O
shoot O O O
and O O O
the O O O
most O O O
flavorful O O O
piece O O O
of O O O
octopus O O O
I O O O
have O O O
ever O O O
put O O O
in O O O
my O O O
mouth. O O O
After O O O
my O O O
first O O O
meal O O O
at O O O
Shoji O O O
I O O O
learned O O O
to O O O
hope O O O
that O O O
chawan O O O
mushi, O O O
a O O O
bowl O O O
of O O O
steaming-hot O O O
tofu O O O
custard, O O O
was O O O
on O O O
the O O O
menu. O O O
In O O O
spring O O O
Mr. O O O
Wilcox O O O
made O O O
it O O O
with O O O
spot O O O
prawns, O O O
but O O O
tonight, O O O
in O O O
homage O O O
to O O O
clambake O O O
season, O O O
he O O O
was O O O
serving O O O
lobster O O O
chawan O O O
mushi. O O O
To O O O
this O O O
point, O O O
the O O O
menu O O O
had O O O
faithfully O O O
followed O O O
kaiseki's O O O
ritualized O O O
sequence O O O
of O O O
courses O O O
and O O O
its O O O
stopwatch-precise O O O
attention O O O
to O O O
seasonality. O O O
It O O O
was O O O
about O O O
to O O O
veer O O O
in O O O
a O O O
different O O O
direction, O O O
but O O O
it O O O
was O O O
enough O O O
to O O O
suggest O O O
that O O O
Mr. O O O
Wilcox O O O
could O O O
open O O O
a O O O
kaiseki O O O
restaurant O O O
that O O O
would O O O
set O O O
a O O O
new O O O
standard O O O
in O O O
the O O O
city. O O O
I'm O O O
not O O O
sure O O O
the O O O
city O O O
would O O O
support O O O
it, O O O
but O O O
it O O O
would O O O
be O O O
spectacular O O O
while O O O
it O O O
lasted. O O O
The O O O
different O O O
direction, O O O
of O O O
course, O O O
was O O O
sushi. O O O
Accounting O O O
for O O O
just O O O
about O O O
half O O O
the O O O
Shoji O O O
menu, O O O
the O O O
sushi O O O
portion O O O
is O O O
briefer O O O
and O O O
offers O O O
less O O O
variety O O O
than O O O
the O O O
full O O O
monty O O O
at, O O O
say, O O O
Sushi O O O
Amane O O O
or O O O
Ginza O O O
Sushi O O O
Onodera O O O
. O O O
But O O O
I'm O O O
not O O O
sure O O O
any O O O
competitor O O O
outflanks O O O
Shoji O O O
on O O O
the O O O
quality O O O
of O O O
the O O O
seafood O O O
it O O O
does O O O
serve, O O O
or O O O
in O O O
the O O O
timeliness O O O
with O O O
which O O O
it O O O
serves O O O
up O O O
exactly O O O
the O O O
specimens O O O
most O O O
worth O O O
tracking O O O
down O O O
at O O O
any O O O
given O O O
moment. O O O
In O O O
spring, O O O
when O O O
bioluminescent O O O
firefly O O O
squid O O O
are O O O
spawning O O O
in O O O
Japanese O O O
bays, O O O
Mr. O O O
Wilcox O O O
gets O O O
them. O O O
In O O O
August, O O O
when O O O
cuttlefish O O O
are O O O
thumbnail O O O
size, O O O
unbelievably O O O
smooth O O O
and O O O
as O O O
meltingly O O O
soft O O O
as O O O
the O O O
thinnest O O O
sheet O O O
of O O O
nova O O O
at O O O
Russ O O O
& O O O
Daughters O O O
, O O O
he O O O
will O O O
lay O O O
three O O O
of O O O
those O O O
over O O O
a O O O
single O O O
finger O O O
of O O O
rice. O O O
He O O O
tracks O O O
bluefin O O O
that O O O
has O O O
been O O O
caught O O O
from O O O
healthy O O O
stocks, O O O
like O O O
the O O O
o-toro O O O
from O O O
Ireland O O O
that O O O
he O O O
served O O O
last O O O
spring O O O
and O O O
that O O O
was O O O
so O O O
seductive O O O
it O O O
could O O O
have O O O
been O O O
captioned O O O
"the O O O
guy O O O
she O O O
told O O O
you O O O
not O O O
to O O O
worry O O O
about." O O O
While O O O
in O O O
Japan, O O O
Mr. O O O
Wilcox O O O
learned O O O
to O O O
make O O O
fresh O O O
ikura O O O
from O O O
sacs O O O
of O O O
salmon O O O
roe, O O O
a O O O
slow O O O
process O O O
that O O O
requires O O O
massaging O O O
the O O O
eggs O O O
apart O O O
by O O O
hand O O O
in O O O
many O O O
changes O O O
of O O O
water. O O O
Normally O O O
the O O O
roe O O O
is O O O
then O O O
heavily O O O
cured O O O
with O O O
sugar O O O
and O O O
salt, O O O
but O O O
the O O O
roe O O O
he O O O
was O O O
serving O O O
last O O O
month O O O
was O O O
very O O O
lightly O O O
seasoned O O O
before O O O
being O O O
spooned O O O
into O O O
a O O O
shot O O O
glass O O O
and O O O
served O O O
as O O O
is O O O
-- O O O
sticky, O O O
fatty, O O O
sweet O O O
and O O O
fresh. O O O
After O O O
the O O O
last O O O
piece O O O
of O O O
fish, O O O
the O O O
kaiseki O O O
format O O O
kicks O O O
in O O O
again O O O
with O O O
a O O O
soup, O O O
which O O O
may O O O
be O O O
as O O O
simple O O O
as O O O
a O O O
classic O O O
bowl O O O
of O O O
miso O O O
or O O O
may O O O
break O O O
with O O O
tradition, O O O
like O O O
the O O O
extraordinary O O O
corn O O O
soup O O O
I O O O
ate O O O
in O O O
August. O O O
There O O O
will O O O
be O O O
something O O O
cold O O O
and O O O
refreshing, O O O
maybe O O O
a O O O
granita O O O
made O O O
from O O O
ginger O O O
or O O O
matcha, O O O
and O O O
finally O O O
a O O O
more O O O
substantial O O O
dessert. O O O
Sometimes O O O
this O O O
is O O O
a O O O
sort O O O
of O O O
tart O O O
with O O O
seasonal O O O
fruit O O O
-- O O O
candied O O O
kumquats, O O O
maybe, O O O
or O O O
white O O O
peaches O O O
and O O O
blueberries O O O
-- O O O
arranged O O O
in O O O
a O O O
mochi O O O
wafer O O O
called O O O
monaka. O O O
For O O O
all O O O
this O O O
the O O O
charge O O O
is O O O
$252, O O O
service O O O
included. O O O
A O O O
shorter O O O
menu O O O
is O O O
available O O O
at O O O
$190, O O O
or O O O
a O O O
longer O O O
one O O O
at O O O
$295, O O O
again O O O
with O O O
service O O O
included. O O O
That O O O
service O O O
is O O O
somewhat O O O
minimal; O O O
lately O O O
it O O O
has O O O
meant O O O
a O O O
single O O O
employee O O O
assiduously O O O
refilling O O O
water O O O
glasses O O O
and O O O
taking O O O
orders O O O
from O O O
a O O O
drinks O O O
list O O O
whose O O O
cheapest O O O
item O O O
is O O O
a O O O
$12 O O O
bottle O O O
of O O O
beer. O O O
Could O O O
my O O O
server O O O
have O O O
been O O O
more O O O
adept O O O
at O O O
deciphering O O O
the O O O
wines, O O O
sakes, O O O
shochus O O O
and O O O
Haitian O O O
rums O O O
Mr. O O O
Elkon O O O
and O O O
Mr. O O O
Wilcox O O O
have O O O
put O O O
together? O O O
Perhaps, O O O
but O O O
I O O O
wouldn't O O O
necessarily O O O
want O O O
the O O O
scene O O O
cluttered O O O
by O O O
a O O O
sommelier O O O
in O O O
full O O O
pocket-square-and-cuff-links O O O
regalia. O O O
More O O O
employees O O O
hovering O O O
at O O O
the O O O
counter O O O
might O O O
take O O O
away O O O
from O O O
the O O O
bond O O O
Mr. O O O
Wilcox O O O
builds O O O
with O O O
the O O O
people O O O
he O O O
feeds. O O O
Follow O O O
NYT O O O
Food O O O
on O O O
Twitter O O O
and O O O
NYT O O O
Cooking O O O
on O O O
Instagram O O O
, O O O
Facebook O O O
and O O O
Pinterest O O O
. O O O
Get O O O
regular O O O
updates O O O
from O O O
NYT O O O
Cooking, O O O
with O O O
recipe O O O
suggestions, O O O
cooking O O O
tips O O O
and O O O
shopping O O O
advice O O O
. O O O
   
   
-DOCSTART- -X- -X- -X-
   
Sometimes O O O
when O O O
I O O O
am O O O
waiting, O O O
and O O O
waiting, O O O
for O O O
a O O O
barista O O O
to O O O
steam O O O
milk B-FOOD O O
for O O O
my O O O
cortado, O O B-DISH
I O O O
like O O O
to O O O
pass O O O
the O O O
time O O O
by O O O
imagining O O O
what O O O
life O O O
would O O O
be O O O
like O O O
if O O O
Howard O O O
Schultz O O O
had O O O
boarded O O O
the O O O
wrong O O O
plane O O O
in O O O
1981 O O O
and O O O
flown O O O
to O O O
Penang O O B-LOC
instead O O O
of O O O
Milan. O O B-LOC
Starbucks, O O B-EST
the O O O
company O O O
he O O O
joined O O O
after O O O
that O O O
trip O O O
and O O O
would O O O
eventually O O O
lead O O O
, O O O
might O O O
teach O O O
its O O O
employees O O O
the O O O
fine O O O
arts O O O
of O O O
Malaysian O O B-CUISINE
kopi, O O B-FOOD
brewed O O O
by O O O
pouring O O O
hot O O O
water O O O
over O O O
grounds O O O
in O O O
the O O O
bottom O O O
of O O O
a O O O
sock, O O O
rather O O O
than O O O
show O O O
them O O O
how O O O
to O O O
operate O O O
an O O O
espresso O O O
machine. O O O
Instead O O O
of O O O
white-chocolate O O B-DISH
mocha O O I-DISH
lattes, O O I-DISH
we O O O
would O O O
drink O O O
bek-kopi, O O B-DISH
white O O B-FOOD
coffee, O O I-FOOD
brewed O O O
from O O O
beans O O O
that O O O
are O O O
lightly O O O
roasted O O O
in O O O
palm O O B-FOOD
oil O O I-FOOD
margarine. O O I-FOOD
Venti O O O
would O O O
just O O O
be O O O
Italian O O O
for O O O
a O O O
number, O O O
while O O O
kopi-C O O B-DISH
kosong, O O I-DISH
or O O O
strong O O O
black O O B-FOOD
coffee O O I-FOOD
with O O O
unsweetened O O B-FOOD
condensed O O I-FOOD
milk, O O I-FOOD
would O O O
have O O O
entered O O O
the O O O
American O O O
lexicon, O O O
along O O O
with O O O
kopi O O B-DISH
tarik, O O I-DISH
the O O O
same O O O
drink O O O
made O O O
with O O O
sweetened O O B-FOOD
condensed O O I-FOOD
milk. O O I-FOOD
There O O O
would O O O
be O O O
no O O O
competitions O O O
where O O O
baristas O O O
drew O O O
swans O O O
and O O O
elephants O O O
in O O O
milk O O O
froth, O O O
and O O O
in O O O
their O O O
place O O O
we O O O
would O O O
have O O O
exhibitions O O O
of O O O
coffee O O O
and O O O
tea O O O
pulling O O O
, O O O
the O O O
art O O O
of O O O
cooling O O O
the O O O
beverage O O O
while O O O
coaxing O O O
the O O O
milk O O O
in O O O
it O O O
to O O O
form O O O
a O O O
foamy O O O
head O O O
by O O O
pouring O O O
it O O O
from O O O
one O O O
pot O O O
to O O O
another O O O
in O O O
long, O O O
swooping, O O O
steamy O O O
cataracts. O O O
In O O O
other O O O
words, O O O
the O O O
places O O O
where O O O
we O O O
get O O O
our O O O
caffeine O O O
fix O O O
might O O O
look O O O
a O O O
lot O O O
like O O O
Kopitiam O O B-EST
, O O O
on O O O
East O O B-LOC
Broadway O O I-LOC
in O O I-LOC
Chinatown. O O I-LOC
Kyo O O O
Pang O O O
founded O O O
Kopitiam O O B-EST
three O O O
years O O O
ago O O O
as O O O
a O O O
homage O O O
to O O O
the O O O
coffee O O B-TYPE
and O O I-TYPE
tea O O I-TYPE
parlors O O I-TYPE
of O O O
Malaysia, O O B-LOC
where O O O
she O O O
grew O O O
up. O O O
A O O O
typical O O O
Malaysian O O B-CUISINE
kopitiam O O B-TYPE
is O O O
a O O O
ramshackle O O O
hangout O O O
where O O O
people O O O
drop O O O
in O O O
to O O O
read O O O
the O O O
morning O O O
paper, O O O
grab O O O
breakfast, O O O
catch O O O
up O O O
on O O O
neighborhood O O O
gossip O O O
and O O O
do O O O
all O O O
the O O O
other O O O
things O O O
that O O O
classically O O O
accompany O O O
a O O O
cup O O O
of O O O
tea O O B-FOOD
or O O O
coffee. O O B-FOOD
Something O O O
of O O O
that O O O
spirit O O O
pervades O O O
Kopitiam, O O B-EST
too. O O O
[Read O O O
about O O O
some O O O
of O O O
the O O O
best O O O
new O O O
restaurants O O O
in O O O
New O O O
York O O O
City O O O
(for O O O
now).] O O O
The O O O
original O O O
Kopitiam, O O B-EST
reviewed O O O
by O O O
Ligaya O O O
Mishan O O O
in O O O
a O O O
2015 O O O
Hungry O O O
City O O O
column, O O O
was O O O
situated O O O
around O O O
the O O O
corner O O O
on O O O
Canal O O B-LOC
Street O O I-LOC
and O O O
had O O O
just O O O
four O O O
seats O O O
at O O O
a O O O
single O O O
counter. O O O
In O O O
June, O O O
Ms. O O O
Pang O O O
and O O O
her O O O
new O O O
business O O O
partner, O O O
Moonlynn O O O
Tsai, O O O
relocated O O O
to O O O
a O O O
larger, O O O
if O O O
still O O O
fairly O O O
intimate, O O O
space O O O
a O O O
few O O O
steps O O O
above O O O
the O O O
sidewalk. O O O
You O O O
order O O O
at O O O
the O O O
counter O O O
and O O O
receive O O O
a O O O
number O O O
on O O O
a O O O
metal O O O
stand, O O O
a O O O
kind O O O
of O O O
promissory O O O
note O O O
for O O O
the O O O
food O O O
and O O O
beverages. O O O
If O O O
you O O O
show O O O
up O O O
on O O O
a O O O
weekday O O O
in O O O
the O O O
morning O O O
or O O O
afternoon, O O O
when O O O
seats O O O
are O O O
not O O O
hard O O O
to O O O
come O O O
by O O O
and O O O
the O O O
room O O O
has O O O
a O O O
languid, O O O
unhurried O O O
air, O O O
you O O O
could O O O
get O O O
just O O O
a O O O
cup O O O
of O O O
bek-kopi O O B-DISH
and O O O
linger O O O
over O O O
it O O O
with O O O
a O O O
newspaper. O O O
You O O O
will O O O
probably O O O
want O O O
more O O O
than O O O
that, O O O
though. O O O
From O O O
9 O O O
a.m., O O O
when O O O
the O O O
doors O O O
open, O O O
until O O O
10 O O O
p.m., O O O
when O O O
they O O O
close, O O O
you O O O
can O O O
get O O O
nasi O O B-DISH
lemak, O O I-DISH
Malaysia's O O O
national O O O
dish O O O
and O O O
a O O O
particular O O O
favorite O O O
at O O O
breakfast. O O O
I O O O
don't O O O
know O O O
another O O O
kitchen O O O
in O O O
the O O O
city O O O
where O O O
the O O O
fragrances O O O
of O O O
coconut O O B-FOOD
and O O O
pandan O O B-FOOD
leaf O O I-FOOD
infuse O O O
the O O O
rice O O B-FOOD
as O O O
elegantly, O O O
or O O O
where O O O
the O O O
tiny O O O
dried O O B-FOOD
fish, O O I-FOOD
which O O O
Kopitiam O O B-EST
fries O O O
with O O O
peanuts, O O B-FOOD
form O O O
a O O O
caramelized O O O
crust O O O
that O O O
erases O O O
the O O O
distinction O O O
between O O O
sweet O O O
and O O O
savory. O O O
Or O O O
your O O O
breakfast O O O
could O O O
be O O O
a O O O
bowl O O O
of O O O
two O O B-FOOD
eggs O O I-FOOD
boiled O O O
just O O O
long O O O
enough O O O
to O O O
turn O O O
the O O O
whites O O O
opaque O O O
while O O O
leaving O O O
the O O O
yolks O O O
free O O O
to O O O
billow O O O
into O O O
mushroom-soy O O B-FOOD
broth O O I-FOOD
underneath. O O O
Or O O O
it O O O
might O O O
be O O O
fish O O B-DISH
ball O O I-DISH
soup, O O I-DISH
grape-size O O O
globes O O O
of O O O
ground O O B-FOOD
fish O O I-FOOD
in O O O
a O O O
cloudy O O O
white O O O
broth; O O B-FOOD
if O O O
the O O O
grains O O O
of O O O
white O O O
pepper O O O
on O O O
the O O O
surface O O O
aren't O O O
intense O O O
enough O O O
for O O O
you, O O O
you O O O
can O O O
stir O O O
in O O O
a O O O
little O O O
fish O O B-FOOD
sauce O O I-FOOD
spiced O O O
with O O B-FOOD
bird's O O I-FOOD
eye O O I-FOOD
chiles. O O I-FOOD
Rice O O B-FOOD
vermicelli O O I-FOOD
can O O O
be O O O
added, O O O
too, O O O
but O O O
the O O O
soup O O B-FOOD
is O O O
easier O O O
to O O O
appreciate O O O
in O O O
pure O O O
liquid O O O
form. O O O
For O O O
mornings O O O
when O O O
nothing O O O
but O O O
a O O O
cannonball O O O
dive O O O
into O O O
sugar O O O
will O O O
do, O O O
Kopitiam O O B-EST
is O O O
ready O O O
with O O O
a O O O
sculptural O O O
pile O O O
of O O O
thick-cut O O O
French O O B-DISH
toast O O I-DISH
battered O O I-DISH
with O O O
Milo O O B-FOOD
malt-chocolate O O I-FOOD
powder, O O I-FOOD
a O O O
Malaysian O O B-CUISINE
passion, O O O
with O O O
streams O O O
of O O O
sweetened O O B-FOOD
condensed O O I-FOOD
milk O O I-FOOD
playing O O O
the O O O
part O O O
that O O O
in O O O
this O O O
country O O O
is O O O
normally O O O
taken O O O
by O O O
maple O O O
syrup. O O O
Eat O O O
the O O O
whole O O O
stack O O O
and O O O
you O O O
will O O O
know O O O
the O O O
answer O O O
to O O O
the O O O
musical O O O
question O O O
posed O O O
by O O O
the O O O
Cramps: O O O
How O O O
far O O O
can O O O
too O O O
far O O O
go? O O O
At O O O
10:30 O O O
a.m. O O O
Ms. O O O
Pang, O O O
the O O O
chef, O O O
adds O O O
a O O O
gang O O O
of O O O
new O O O
dishes O O O
to O O O
the O O O
breakfast O O O
crew, O O O
and O O O
all O O O
of O O O
them O O O
stick O O O
around O O O
until O O O
closing O O O
time. O O O
There O O O
are O O O
fresh O O O
little O O O
oysters O O B-FOOD
embedded O O O
in O O O
a O O O
thin O O O
browned O O O
omelet, O O B-FOOD
rice O O B-DISH
noodles O O I-DISH
in O O I-DISH
a O O I-DISH
chilled O O I-DISH
sesame-oil O O I-DISH
broth O O I-DISH
with O O O
a O O O
growl O O O
of O O O
chile O O O
heat O O O
and O O O
spicy O O B-DISH
skate O O I-DISH
steamed O O I-DISH
in O O I-DISH
banana O O I-DISH
leaves, O O I-DISH
the O O O
classic O O O
acoustic O O O
version O O O
of O O O
the O O O
dish O O O
that O O O
Max O O O
Ng O O O
plays O O O
with O O O
amplifiers O O O
and O O O
wah-wah O O O
pedals O O O
at O O O
Momofuku O O B-EST
Ssam O O I-EST
Bar O O I-EST
. O O O
Any O O O
of O O O
these O O O
could O O O
make O O O
a O O O
small O O O
meal. O O O
But O O O
one O O O
of O O O
the O O O
most O O O
inviting O O O
aspects O O O
of O O O
Kopitiam O O B-EST
is O O O
Ms. O O O
Pang's O O O
fidelity O O O
to O O O
the O O O
Malaysian O O B-CUISINE
love O O I-CUISINE
of O O O
snacks. O O O
Pandan O O B-FOOD
leaves O O I-FOOD
wrapped O O O
around O O O
a O O O
kind O O O
of O O O
chicken O O B-FOOD
sausage; O O I-FOOD
ground O O B-FOOD
five-spice O O I-FOOD
pork O O I-FOOD
rolled O O O
inside O O O
bean-curd O O B-FOOD
skins O O I-FOOD
and O O O
fried; O O O
fried O O O
strips O O O
of O O O
mackerel O O B-FOOD
sausage O O I-FOOD
with O O O
a O O O
curry-leaf O O B-FOOD
sauce O O I-FOOD
-- O O O
any O O O
of O O O
them O O O
makes O O O
a O O O
fine O O O
appetizer, O O O
but O O O
each O O O
could O O O
just O O O
as O O O
easily O O O
be O O O
the O O O
entire O O O
goal O O O
of O O O
a O O O
between-meals O O O
stop O O O
at O O O
Kopitiam. O O B-EST
For O O O
that O O O
matter, O O O
so O O O
could O O O
the O O O
small O O O
sweets O O O
like O O O
pulut: O O B-DISH
triangular, O O O
pandan-wrapped O O O
bundles O O O
of O O O
sticky O O B-FOOD
rice O O I-FOOD
tinted O O O
with O O O
blue O O B-FOOD
morning O O I-FOOD
glory O O I-FOOD
flowers O O I-FOOD
and O O O
spread O O O
with O O O
toasted O O B-FOOD
coconut O O I-FOOD
sugar O O I-FOOD
or O O O
house-made O O O
coconut O O B-FOOD
jam. O O I-FOOD
Ms. O O O
Pang O O O
is O O O
devoted O O O
to O O O
cakes O O O
as O O O
well. O O O
You O O O
get O O O
the O O O
sense O O O
that O O O
if O O O
it O O O
were O O O
physically O O O
possible, O O O
she'd O O O
bake O O O
every O O O
cake O O O
she O O O
knows O O O
every O O O
day, O O O
but O O O
she O O O
settles O O O
for O O O
one O O O
or O O O
two O O O
in O O O
an O O O
unpredictable O O O
rotation. O O O
You O O O
may O O O
find O O O
the O O O
caramel-brown O O B-DISH
honeycomb O O I-DISH
cake, O O I-DISH
with O O O
its O O O
intriguing O O O
structure O O O
of O O O
hollow O O O
vertical O O O
columns O O O
at O O O
the O O O
bottom, O O O
or O O O
you O O O
may O O O
find O O O
her O O O
coconut O O B-DISH
cake, O O I-DISH
or O O O
there O O O
may O O O
be O O O
some O O O
fresh O O O
surprise. O O O
Snacks O O O
and O O O
sweets O O O
tend O O O
to O O O
get O O O
edged O O O
out O O O
of O O O
the O O O
spotlight O O O
in O O O
New O O O
York O O O
restaurants, O O O
where O O O
there's O O O
always O O O
pressure O O O
to O O O
order O O O
something O O O
big. O O O
This O O O
is, O O O
after O O O
all, O O O
a O O O
city O O O
that O O O
turned O O O
the O O O
casual O O O
tapas O O B-TYPE
bar O O I-TYPE
into O O O
the O O O
peculiar O O O
genre O O O
known O O O
as O O O
the O O O
tapas O O B-TYPE
restaurant. O O I-TYPE
There O O O
is O O O
no O O O
such O O O
pressure O O O
inside O O O
Kopitiam, O O B-EST
at O O O
least O O O
on O O O
weekdays. O O O
Weekend O O O
brunch O O O
is O O O
another O O O
story, O O O
as O O O
it O O O
often O O O
is. O O O
The O O O
menu O O O
is O O O
the O O O
same, O O O
but O O O
the O O O
crowds O O O
thicken. O O O
A O O O
sign-in O O O
sheet O O O
is O O O
kept O O O
outside O O O
the O O O
door, O O O
next O O O
to O O O
the O O O
pink O O O
pay O O O
phone O O O
(25 O O O
cents; O O O
it O O O
works), O O O
and O O O
hopeful O O O
customers O O O
sit O O O
on O O O
ceramic O O O
garden O O O
stools O O O
at O O O
the O O O
top O O O
of O O O
the O O O
stoop O O O
listening O O O
for O O O
their O O O
names. O O O
When O O O
you're O O O
finally O O O
called, O O O
you O O O
may O O O
feel O O O
silly O O O
getting O O O
nothing O O O
more O O O
than O O O
tannic O O O
milky O O B-FOOD
tea O O I-FOOD
and O O O
a O O O
bundle O O O
of O O O
blue O O B-FOOD
sticky O O I-FOOD
rice. O O I-FOOD
And O O O
when O O O
demand O O O
peaks, O O O
chaos O O O
can O O O
creep O O O
in, O O O
suggesting O O O
that O O O
Kopitiam O O B-EST
is O O O
still O O O
figuring O O O
out O O O
the O O O
mechanics O O O
of O O O
its O O O
larger O O O
space. O O O
Servers O O O
may O O O
pop O O O
by O O O
anxiously O O O
to O O O
ask, O O O
"Did O O O
you O O O
get O O O
all O O O
your O O O
food?" O O O
and O O O
the O O O
answer O O O
may O O O
be O O O
no. O O O
Drink O O O
orders O O O
may O O O
stack O O O
up. O O O
Once O O O
the O O O
white O O B-FOOD
coffee O O I-FOOD
was O O O
off O O O
the O O O
menu; O O O
another O O O
time, O O O
no O O O
coffee O O B-FOOD
at O O O
all O O O
was O O O
being O O O
poured; O O O
and O O O
for O O O
a O O O
short O O O
time O O O
one O O O
day, O O O
both O O O
coffee O O O
and O O O
tea O O O
were O O O
unavailable, O O O
an O O O
awkward O O O
state O O O
of O O O
affairs O O O
for O O O
a O O O
coffee O O B-TYPE
and O O I-TYPE
tea O O I-TYPE
parlor. O O I-TYPE
Even O O O
with O O O
a O O O
backlog O O O
of O O O
tickets, O O O
though, O O O
the O O O
food O O O
trickling O O O
out O O O
of O O O
the O O O
kitchen O O O
is O O O
almost O O O
unfailingly O O O
